Make,Model,Year,Engine_Fuel_Type,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Number_of_Doors,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,MSRP,obs_number
Tesla,Model S,2014,electric,362,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,94,86,1391,104500,6924
Tesla,Model S,2014,electric,362,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,90,88,1391,93400,6925
Tesla,Model S,2015,electric,362,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,97,94,1391,69900,6926
Tesla,Model S,2015,electric,422,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,102,101,1391,75000,6927
Tesla,Model S,2015,electric,422,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,106,95,1391,85000,6928
Tesla,Model S,2015,electric,422,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,98,89,1391,105000,6929
Tesla,Model S,2015,electric,362,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,90,88,1391,80000,6930
Tesla,Model S,2016,electric,422,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,105,102,1391,79500,6931
Tesla,Model S,2016,electric,422,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,101,98,1391,66000,6932
Tesla,Model S,2016,electric,422,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,105,92,1391,134500,6933
Tesla,Model S,2016,electric,362,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,100,97,1391,74500,6934
Tesla,Model S,2016,electric,422,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,107,101,1391,71000,6935
Tesla,Model S,2016,electric,422,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,102,101,1391,75000,6936
Tesla,Model S,2016,electric,422,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,107,101,1391,89500,6937
Tesla,Model S,2016,electric,422,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,100,91,1391,112000,6938
Tesla,Model S,2016,electric,362,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,90,88,1391,70000,6939
Toyota,RAV4 EV,2012,electric,154,0,DIRECT_DRIVE,front wheel drive,4,Crossover,Midsize,4dr SUV,74,78,2031,49800,8374
Toyota,RAV4 EV,2013,electric,154,0,DIRECT_DRIVE,front wheel drive,4,Crossover,Midsize,4dr SUV,74,78,2031,49800,8375
Toyota,RAV4 EV,2014,electric,154,0,DIRECT_DRIVE,front wheel drive,4,Crossover,Midsize,4dr SUV,74,78,2031,49800,8376
Kia,Soul EV,2015,electric,109,0,DIRECT_DRIVE,front wheel drive,4,N/A,Compact,Wagon,92,120,1720,35700,9851
Kia,Soul EV,2015,electric,109,0,DIRECT_DRIVE,front wheel drive,4,N/A,Compact,Wagon,92,120,1720,33700,9852
Kia,Soul EV,2016,electric,109,0,DIRECT_DRIVE,front wheel drive,4,N/A,Compact,Wagon,92,120,1720,33950,9853
Kia,Soul EV,2016,electric,109,0,DIRECT_DRIVE,front wheel drive,4,N/A,Compact,Wagon,92,120,1720,31950,9854
Kia,Soul EV,2016,electric,109,0,DIRECT_DRIVE,front wheel drive,4,N/A,Compact,Wagon,92,120,1720,35950,9855
Suzuki,Verona,2004,NA,155,6,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,25,17,481,17199,11322
Suzuki,Verona,2004,NA,155,6,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,25,17,481,20199,11323
Suzuki,Verona,2004,NA,155,6,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,25,17,481,18499,11324
