"Make","Model","Year","Engine_Fuel_Type","Engine_HP","Engine_Cylinders","Transmission_Type","Driven_Wheels","Number_of_Doors","Market_Category","Vehicle_Size","Vehicle_Style","highway_MPG","city_mpg","Popularity","MSRP","Factory_Tuner","Luxury","Performance","Flex_Fuel","Hatchback","Hybrid","Diesel","Exotic","Crossover","Age","log_MSRP","obs_number"
"BMW","2 Series","2017","regular",248,"4","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","car",35,24,3916,33150,0,1,1,0,0,0,0,0,0,1,10.408797995614,30
"BMW","2 Series","2017","regular",248,"4","AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","car",33,24,3916,35150,0,1,1,0,0,0,0,0,0,1,10.4673798972388,31
"BMW","2 Series","2017","regular",248,"4","AUTOMATIC","all wheel drive",2,"Luxury","Compact","car",33,23,3916,40950,0,1,0,0,0,0,0,0,0,1,10.6201070892812,32
"Chrysler","200","2015","flex",295,"6","AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","car",29,18,1013,30097.5,0,0,1,1,0,0,0,0,0,3,10.3121973908092,34
"Chrysler","200","2016","flex",184,"4","AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","car",36,23,1013,25005,0,0,0,1,0,0,0,0,0,2,10.126831083853,36
"Chrysler","200","2017","flex",295,"6","AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","car",28,18,1013,30863.3333333333,0,0,1,1,0,0,0,0,0,1,10.337324134774,38
"Mazda","2","2012","regular",100,"4","MANUAL","front wheel drive",4,"Hatchback","Compact","car",35,29,586,15275,0,0,0,0,1,0,0,0,0,6,9.6339727840398,40
"Mazda","2","2013","regular",100,"4","AUTOMATIC","front wheel drive",4,"Hatchback","Compact","car",34,28,586,16305,0,0,0,0,1,0,0,0,0,5,9.69922708822342,42
"Mazda","2","2013","regular",100,"4","MANUAL","front wheel drive",4,"Hatchback","Compact","car",35,29,586,15465,0,0,0,0,1,0,0,0,0,5,9.64633468511917,43
"Mazda","2","2014","regular",100,"4","AUTOMATIC","front wheel drive",4,"Hatchback","Compact","car",34,28,586,16305,0,0,0,0,1,0,0,0,0,4,9.69922708822342,44
"Mazda","2","2014","regular",100,"4","MANUAL","front wheel drive",4,"Hatchback","Compact","car",35,29,586,15465,0,0,0,0,1,0,0,0,0,4,9.64633468511917,45
"BMW","3 Series Gran Turismo","2015","regular",300,"6","AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","car",30,20,3916,47250,0,1,1,0,1,0,0,0,0,3,10.7632079329219,46
"BMW","3 Series Gran Turismo","2015","regular",240,"4","AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","car",33,22,3916,41850,0,1,0,0,1,0,0,0,0,3,10.6418470759176,47
"BMW","3 Series Gran Turismo","2016","regular",240,"4","AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","car",34,22,3916,43000,0,1,0,0,1,0,0,0,0,2,10.6689553946757,48
"BMW","3 Series Gran Turismo","2017","regular",320,"6","AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","car",30,20,3916,49650,0,1,1,0,1,0,0,0,0,1,10.8127536694733,50
"BMW","3 Series Gran Turismo","2017","regular",248,"4","AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","car",33,23,3916,43950,0,1,0,0,1,0,0,0,0,1,10.6908079031133,51
"BMW","3 Series","2015","regular",241,"4","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",33,22,3916,41950,0,1,0,0,0,0,0,0,0,3,10.6442337118954,52
"BMW","3 Series","2015","regular",335,"6","AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance,Hybrid","Midsize","car",33,25,3916,50150,0,1,1,0,0,1,0,0,0,3,10.8227737933901,53
"BMW","3 Series","2015","regular",240,"4","AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","car",35,23,3916,37500,0,1,1,0,0,0,0,0,0,3,10.5320962119585,54
"BMW","3 Series","2015","regular",300,"6","AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","car",32,21,3916,43750,0,1,1,0,0,0,0,0,0,3,10.6862468917858,55
"BMW","3 Series","2015","diesel",180,"4","AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","car",45,32,3916,39000,0,1,0,0,0,0,1,0,0,3,10.5713169251118,56
"BMW","3 Series","2015","regular",240,"4","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",33,22,3916,39500,0,1,0,0,0,0,0,0,0,3,10.5840559508892,57
"BMW","3 Series","2015","regular",180,"4","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",35,23,3916,34950,0,1,0,0,0,0,0,0,0,3,10.461673747662,58
"BMW","3 Series","2015","regular",300,"6","AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","car",30,20,3916,45750,0,1,1,0,0,0,0,0,0,3,10.7309470707037,59
"BMW","3 Series","2015","diesel",180,"4","AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","car",43,31,3916,42225,0,1,0,0,0,0,1,0,0,3,10.650767741676,60
"BMW","3 Series","2015","regular",180,"4","AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","car",36,24,3916,32950,0,1,0,0,0,0,0,0,0,3,10.4027465399307,61
"BMW","3 Series","2016","diesel",180,"4","AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","car",40,30,3916,43000,0,1,0,0,0,0,1,0,0,2,10.6689553946757,62
"BMW","3 Series","2016","regular",320,"6","AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Midsize","car",33,22,3916,47800,0,1,1,0,0,0,0,0,0,2,10.7747809184795,63
"BMW","3 Series","2016","diesel",180,"4","AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","car",42,32,3916,39850,0,1,0,0,0,0,1,0,0,2,10.5928776842184,64
"BMW","3 Series","2016","regular",240,"4","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",34,22,3916,41500,0,1,0,0,0,0,0,0,0,2,10.6334487062188,66
"BMW","3 Series","2016","regular",240,"4","MANUAL","rear wheel drive",4,"Luxury,Performance","Midsize","car",34,22,3916,38350,0,1,1,0,0,0,0,0,0,2,10.5545098067954,67
"BMW","3 Series","2016","regular",180,"4","AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","car",36,24,3916,33150,0,1,0,0,0,0,0,0,0,2,10.408797995614,68
"BMW","3 Series","2016","regular",180,"4","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",35,23,3916,35150,0,1,0,0,0,0,0,0,0,2,10.4673798972388,69
"BMW","3 Series","2017","regular",248,"4","AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","car",34,23,3916,38750,0,1,1,0,0,0,0,0,0,1,10.5648860347815,71
"BMW","3 Series","2017","regular",180,"4","AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","car",35,23,3916,33450,0,1,0,0,0,0,0,0,0,1,10.4178070655564,73
"BMW","3 Series","2017","regular",248,"4","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",33,23,3916,41850,0,1,0,0,0,0,0,0,0,1,10.6418470759176,74
"BMW","3 Series","2017","diesel",180,"4","AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","car",40,30,3916,43350,0,1,0,0,0,0,1,0,0,1,10.6770619822087,75
"BMW","3 Series","2017","regular",320,"6","AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","car",31,21,3916,49900,0,1,1,0,0,0,0,0,0,1,10.8177762817396,77
"Chrysler","300","2015","regular",300,"6","AUTOMATIC","all wheel drive",4,"N/A","Large","car",27,18,1013,37570,0,0,0,0,0,0,0,0,0,3,10.533961138568,79
"Chrysler","300","2015","regular",292,"6","AUTOMATIC","all wheel drive",4,"N/A","Large","car",27,18,1013,39886.6666666667,0,0,0,0,0,0,0,0,0,3,10.5937973782759,81
"Chrysler","300","2015","regular",292,"6","AUTOMATIC","rear wheel drive",4,"Performance","Large","car",31,19,1013,42395,0,0,1,0,0,0,0,0,0,3,10.6547857097381,83
"Chrysler","300","2016","regular",300,"6","AUTOMATIC","all wheel drive",4,"N/A","Large","car",27,18,1013,38342.5,0,0,0,0,0,0,0,0,0,2,10.5543142205249,84
"Chrysler","300","2016","regular",300,"6","AUTOMATIC","rear wheel drive",4,"Performance","Large","car",31,19,1013,35842.5,0,0,1,0,0,0,0,0,0,2,10.4868896191204,85
"Chrysler","300","2016","regular",292,"6","AUTOMATIC","all wheel drive",4,"N/A","Large","car",27,18,1013,39690,0,0,0,0,0,0,0,0,0,2,10.5888545457771,86
"Chrysler","300","2016","regular",292,"6","AUTOMATIC","rear wheel drive",4,"N/A","Large","car",31,19,1013,35356.6666666667,0,0,0,0,0,0,0,0,0,2,10.4732422438314,87
"Chrysler","300","2016","regular",292,"6","AUTOMATIC","rear wheel drive",4,"Performance","Large","car",31,19,1013,42690,0,0,1,0,0,0,0,0,0,2,10.661719979752,88
"Chrysler","300","2017","regular",292,"6","AUTOMATIC","all wheel drive",4,"N/A","Large","car",27,18,1013,40415,0,0,0,0,0,0,0,0,0,1,10.6069562821679,89
"Chrysler","300","2017","regular",300,"6","AUTOMATIC","all wheel drive",4,"N/A","Large","car",27,18,1013,38422.5,0,0,0,0,0,0,0,0,0,1,10.5563985044815,90
"Chrysler","300","2017","regular",300,"6","AUTOMATIC","rear wheel drive",4,"Performance","Large","car",30,19,1013,35922.5,0,0,1,0,0,0,0,0,0,1,10.4891191191034,92
"Chrysler","300M","2003","regular",250,"6","AUTOMATIC","front wheel drive",4,"Performance","Large","car",25,16,1013,28885,0,0,1,0,0,0,0,0,0,15,10.2710777082154,96
"Chrysler","300M","2004","regular",250,"6","AUTOMATIC","front wheel drive",4,"Performance","Large","car",25,16,1013,29185,0,0,1,0,0,0,0,0,0,14,10.2814101576379,97
"Chrysler","300M","2004","regular",255,"6","AUTOMATIC","front wheel drive",4,"Performance","Large","car",25,16,1013,32615,0,0,1,0,0,0,0,0,0,14,10.3925275842302,98
"Nissan","350Z","2007","regular",306,"6","AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","car",23,17,2009,38900,0,0,1,0,0,0,0,0,0,11,10.5687495296065,99
"Nissan","350Z","2007","regular",306,"6","MANUAL","rear wheel drive",2,"High-Performance","Compact","car",25,18,2009,31575,0,0,1,0,0,0,0,0,0,11,10.3601209472187,101
"Nissan","350Z","2007","regular",306,"6","MANUAL","rear wheel drive",2,"High-Performance","Compact","car",24,17,2009,37900,0,0,1,0,0,0,0,0,0,11,10.5427063910705,102
"Nissan","350Z","2008","regular",306,"6","AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","car",24,17,2009,34263.3333333333,0,0,1,0,0,0,0,0,0,10,10.4418310623389,104
"Nissan","350Z","2008","regular",306,"6","MANUAL","rear wheel drive",2,"High-Performance","Compact","car",24,17,2009,38630,0,0,1,0,0,0,0,0,0,10,10.5617844556603,105
"Nissan","350Z","2008","regular",306,"6","AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","car",23,17,2009,39630,0,0,1,0,0,0,0,0,0,10,10.5873416861845,106
"Nissan","350Z","2008","regular",306,"6","MANUAL","rear wheel drive",2,"Factory Tuner,High-Performance","Compact","car",25,18,2009,38680,1,0,1,0,0,0,0,0,0,10,10.5630779495672,108
"Nissan","350Z","2009","regular",306,"6","MANUAL","rear wheel drive",2,"High-Performance","Compact","car",24,17,2009,39220,0,0,1,0,0,0,0,0,0,9,10.5769420997503,109
"Ferrari","360","2002","regular",400,"8","MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","car",15,10,2774,150722,0,0,1,0,0,0,0,1,0,16,11.9231923593612,111
"Ferrari","360","2002","regular",400,"8","AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","car",15,10,2774,160761.5,0,0,1,0,0,0,0,1,0,16,11.9876771791989,112
"Ferrari","360","2003","regular",400,"8","MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","car",15,10,2774,154923,0,0,1,0,0,0,0,1,0,15,11.9506834982747,113
"Ferrari","360","2003","regular",400,"8","AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","car",15,10,2774,165188.5,0,0,1,0,0,0,0,1,0,15,12.0148425250551,114
"Ferrari","360","2004","regular",425,"8","AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,Factory Tuner,High-Performance","Compact","car",15,10,2774,187124,1,0,1,0,0,0,0,1,0,14,12.1395267776863,116
"Ferrari","360","2004","regular",400,"8","MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","car",15,10,2774,158616,0,0,1,0,0,0,0,1,0,14,11.9742414658184,117
"Nissan","370Z","2015","regular",350,"6","AUTOMATIC","rear wheel drive",2,"Factory Tuner,High-Performance","Compact","car",26,19,2009,45040,1,0,1,0,0,0,0,0,0,3,10.7153062628136,118
"Nissan","370Z","2015","regular",332,"6","MANUAL","rear wheel drive",2,"High-Performance","Compact","car",24,17,2009,46685,0,0,1,0,0,0,0,0,0,3,10.751178192918,119
"Nissan","370Z","2015","regular",332,"6","MANUAL","rear wheel drive",2,"High-Performance","Compact","car",26,18,2009,34650,0,0,1,0,0,0,0,0,0,3,10.453053004618,120
"Nissan","370Z","2015","regular",332,"6","AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","car",25,18,2009,45930,0,0,1,0,0,0,0,0,0,3,10.7348737773198,121
"Nissan","370Z","2015","regular",332,"6","AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","car",26,19,2009,35950,0,0,1,0,0,0,0,0,0,3,10.4898843631492,122
"Nissan","370Z","2015","regular",350,"6","MANUAL","rear wheel drive",2,"Factory Tuner,High-Performance","Compact","car",26,18,2009,43740,1,0,1,0,0,0,0,0,0,3,10.6860182942308,123
"Nissan","370Z","2016","regular",332,"6","AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","car",25,18,2009,45930,0,0,1,0,0,0,0,0,0,2,10.7348737773198,124
"Nissan","370Z","2016","regular",332,"6","MANUAL","rear wheel drive",2,"High-Performance","Compact","car",24,17,2009,46685,0,0,1,0,0,0,0,0,0,2,10.751178192918,125
"Nissan","370Z","2016","regular",350,"6","AUTOMATIC","rear wheel drive",2,"Factory Tuner,High-Performance","Compact","car",26,19,2009,45040,1,0,1,0,0,0,0,0,0,2,10.7153062628136,126
"Nissan","370Z","2016","regular",332,"6","AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","car",26,19,2009,35950,0,0,1,0,0,0,0,0,0,2,10.4898843631492,127
"Nissan","370Z","2016","regular",350,"6","MANUAL","rear wheel drive",2,"Factory Tuner,High-Performance","Compact","car",26,18,2009,43740,1,0,1,0,0,0,0,0,0,2,10.6860182942308,128
"Nissan","370Z","2016","regular",332,"6","MANUAL","rear wheel drive",2,"High-Performance","Compact","car",26,18,2009,34650,0,0,1,0,0,0,0,0,0,2,10.453053004618,129
"Nissan","370Z","2017","regular",332,"6","MANUAL","rear wheel drive",2,"High-Performance","Compact","car",26,18,2009,34650,0,0,1,0,0,0,0,0,0,1,10.453053004618,130
"Nissan","370Z","2017","regular",332,"6","AUTOMATIC","rear wheel drive",2,"High-Performance","Compact","car",26,19,2009,35950,0,0,1,0,0,0,0,0,0,1,10.4898843631492,131
"Nissan","370Z","2017","regular",350,"6","AUTOMATIC","rear wheel drive",2,"Factory Tuner,High-Performance","Compact","car",26,19,2009,45040,1,0,1,0,0,0,0,0,0,1,10.7153062628136,135
"Mazda","3","2015","regular",184,"4","MANUAL","front wheel drive",4,"Performance","Compact","car",37,25,586,24445,0,0,1,0,0,0,0,0,0,3,10.1041809750127,136
"Mazda","3","2015","regular",184,"4","AUTOMATIC","front wheel drive",4,"Performance","Compact","car",39,28,586,25495,0,0,1,0,0,0,0,0,0,3,10.1462376334893,137
"Mazda","3","2015","regular",155,"4","MANUAL","front wheel drive",4,"N/A","Compact","car",41,29,586,19432.5,0,0,0,0,0,0,0,0,0,3,9.87470220110438,139
"Mazda","3","2015","regular",184,"4","AUTOMATIC","front wheel drive",4,"Hatchback,Performance","Compact","car",37,27,586,25995,0,0,1,0,1,0,0,0,0,3,10.1656594908178,140
"Mazda","3","2015","regular",184,"4","MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","car",35,26,586,24945,0,0,1,0,1,0,0,0,0,3,10.1244286802951,141
"Mazda","3","2015","regular",155,"4","AUTOMATIC","front wheel drive",4,"Hatchback","Compact","car",40,30,586,21811.6666666667,0,0,0,0,1,0,0,0,0,3,9.99020027382147,142
"Mazda","3","2015","regular",155,"4","MANUAL","front wheel drive",4,"Hatchback","Compact","car",40,29,586,20761.6666666667,0,0,0,0,1,0,0,0,0,3,9.94086361665208,143
"Mazda","3","2016","regular",155,"4","MANUAL","front wheel drive",4,"N/A","Compact","car",41,29,586,20145,0,0,0,0,0,0,0,0,0,2,9.91071139762545,144
"Mazda","3","2016","regular",155,"4","AUTOMATIC","front wheel drive",4,"N/A","Compact","car",41,30,586,21195,0,0,0,0,0,0,0,0,0,2,9.96152058378674,145
"Mazda","3","2016","regular",184,"4","AUTOMATIC","front wheel drive",4,"Hatchback,Performance","Compact","car",37,27,586,25995,0,0,1,0,1,0,0,0,0,2,10.1656594908178,146
"Mazda","3","2016","regular",155,"4","MANUAL","front wheel drive",4,"Hatchback","Compact","car",40,29,586,20845,0,0,0,0,1,0,0,0,0,2,9.9448693903149,147
"Mazda","3","2016","regular",155,"4","AUTOMATIC","front wheel drive",4,"Hatchback","Compact","car",40,30,586,21895,0,0,0,0,1,0,0,0,0,2,9.9940135792355,148
"Mazda","3","2016","regular",184,"4","AUTOMATIC","front wheel drive",4,"Performance","Compact","car",39,28,586,25295,0,0,1,0,0,0,0,0,0,2,10.138362026726,150
"Mazda","3","2016","regular",184,"4","MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","car",35,26,586,25445,0,0,1,0,1,0,0,0,0,2,10.1442745390229,151
"Mazda","3","2017","regular",155,"4","AUTOMATIC","front wheel drive",4,"N/A","Midsize","car",37,28,586,20195,0,0,0,0,0,0,0,0,0,1,9.91319032799751,152
"Mazda","3","2017","regular",155,"4","MANUAL","front wheel drive",4,"N/A","Midsize","car",37,27,586,19145,0,0,0,0,0,0,0,0,0,1,9.8597968639114,153
"Mazda","3","2017","regular",184,"4","MANUAL","front wheel drive",4,"Performance","Midsize","car",34,25,586,23145,0,0,1,0,0,0,0,0,0,1,10.0495340534654,154
"Mazda","3","2017","regular",184,"4","AUTOMATIC","front wheel drive",4,"Performance","Midsize","car",36,27,586,24195,0,0,1,0,0,0,0,0,0,1,10.0939012792274,155
"Mazda","3","2017","regular",184,"4","AUTOMATIC","front wheel drive",4,"Hatchback,Performance","Compact","car",35,26,586,24195,0,0,1,0,1,0,0,0,0,1,10.0939012792274,157
"Mazda","3","2017","regular",184,"4","MANUAL","front wheel drive",4,"Hatchback,Performance","Compact","car",33,25,586,23145,0,0,1,0,1,0,0,0,0,1,10.0495340534654,158
"BMW","4 Series Gran Coupe","2015","regular",240,"4","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",33,22,3916,42300,0,1,0,0,0,0,0,0,0,3,10.6525423650344,160
"BMW","4 Series Gran Coupe","2015","regular",240,"4","AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","car",34,23,3916,40300,0,1,0,0,0,0,0,0,0,3,10.6041067479348,161
"BMW","4 Series Gran Coupe","2016","regular",240,"4","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",34,22,3916,43650,0,1,0,0,0,0,0,0,0,2,10.6839585612677,164
"BMW","4 Series Gran Coupe","2016","regular",300,"6","AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","car",30,20,3916,49950,0,1,1,0,0,0,0,0,0,2,10.8187777840767,165
"BMW","4 Series Gran Coupe","2016","regular",300,"6","AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","car",31,20,3916,47950,0,1,1,0,0,0,0,0,0,2,10.7779140803116,166
"BMW","4 Series Gran Coupe","2016","regular",240,"4","AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","car",34,23,3916,41650,0,1,0,0,0,0,0,0,0,2,10.637056647595,167
"BMW","4 Series Gran Coupe","2017","regular",320,"6","AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","car",32,21,3916,48300,0,1,1,0,0,0,0,0,0,1,10.7851868396407,168
"BMW","4 Series Gran Coupe","2017","regular",320,"6","AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","car",31,21,3916,50300,0,1,1,0,0,0,0,0,0,1,10.8257603560878,169
"BMW","4 Series Gran Coupe","2017","regular",248,"4","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",33,23,3916,43950,0,1,0,0,0,0,0,0,0,1,10.6908079031133,170
"BMW","4 Series Gran Coupe","2017","regular",248,"4","AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","car",34,23,3916,41950,0,1,1,0,0,0,0,0,0,1,10.6442337118954,171
"BMW","4 Series","2015","regular",300,"6","AUTOMATIC","all wheel drive",2,"Luxury,Performance","Midsize","car",29,20,3916,56900,0,1,1,0,0,0,0,0,0,3,10.9490506201144,172
"BMW","4 Series","2015","regular",240,"4","AUTOMATIC","all wheel drive",2,"Luxury","Midsize","car",33,21,3916,50750,0,1,0,0,0,0,0,0,0,3,10.834666896904,174
"BMW","4 Series","2015","regular",240,"4","AUTOMATIC","all wheel drive",2,"Luxury","Midsize","car",33,22,3916,42750,0,1,0,0,0,0,0,0,0,3,10.6631244743649,175
"BMW","4 Series","2015","regular",240,"4","AUTOMATIC","rear wheel drive",2,"Luxury","Midsize","car",34,23,3916,48750,0,1,0,0,0,0,0,0,0,3,10.794460476426,176
"BMW","4 Series","2015","regular",300,"6","AUTOMATIC","all wheel drive",2,"Luxury,Performance","Midsize","car",30,20,3916,48250,0,1,1,0,0,0,0,0,0,3,10.7841511067671,177
"BMW","4 Series","2015","regular",240,"4","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Midsize","car",35,23,3916,40750,0,1,1,0,0,0,0,0,0,3,10.615211118669,178
"BMW","4 Series","2015","regular",300,"6","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Midsize","car",31,20,3916,54900,0,1,1,0,0,0,0,0,0,3,10.9132686274976,179
"BMW","4 Series","2016","regular",240,"4","AUTOMATIC","rear wheel drive",2,"Luxury","Midsize","car",34,23,3916,50000,0,1,0,0,0,0,0,0,0,2,10.8197782844103,181
"BMW","4 Series","2016","regular",240,"4","MANUAL","rear wheel drive",2,"Luxury,Performance","Midsize","car",34,22,3916,41850,0,1,1,0,0,0,0,0,0,2,10.6418470759176,182
"BMW","4 Series","2016","regular",300,"6","AUTOMATIC","all wheel drive",2,"Luxury,Performance","Midsize","car",30,20,3916,50150,0,1,1,0,0,0,0,0,0,2,10.8227737933901,183
"BMW","4 Series","2016","regular",240,"4","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Midsize","car",35,23,3916,41850,0,1,1,0,0,0,0,0,0,2,10.6418470759176,184
